Flodnr;Station;Helt islagd;Snö;Stöpsörja;Överis;Mellanvatten övre;Mellanis;Mellanvatten nedre;Stöpis;Kärnis;Hela istäcket;Isen upp hela sjön;Datum;Anmärkning;
1;Torneträsk;;18;0;0;0;0;0;0;77;77;;1958-03-14;;
1;Torneträsk;;26;0;0;0;0;0;0;76;76;;1958-03-21;;
1;Torneträsk;;24;0;0;0;0;0;0;77;77;;1958-03-28;;
1;Torneträsk;;18;0;0;0;0;0;0;76;76;;1958-04-04;;
1;Torneträsk;;12;0;0;0;0;0;0;74;74;;1958-04-11;;
1;Torneträsk;;14;0;0;0;0;0;0;74;74;;1958-04-18;;
1;Torneträsk;;16;0;0;0;0;0;0;73;73;;1958-04-25;;
1;Torneträsk;;12;6;0;0;0;0;0;68;68;;1958-05-02;;
1;Torneträsk;;0;0;0;0;0;0;0;66;66;;1958-05-09;;
1;Torneträsk;;0;0;0;0;0;0;9;54;63;;1958-05-16;;
1;Torneträsk;;0;10;0;0;0;0;24;30;54;;1958-05-23;;
1;Torneträsk;;0;10;0;0;0;0;45;0;45;;1958-05-30;;
1;Torneträsk;;0;0;0;0;0;0;30;0;30;;1958-06-06;;
1;Torneträsk;1957-12-29;0;0;0;0;0;0;0;0;0;1958-06-22;1958-06-28;;
1;Torneträsk;1958-12-18;0;0;0;0;0;0;0;23;23;;1958-12-26;;
1;Torneträsk;1958-12-18;5;0;0;0;0;0;0;47;47;;1959-01-09;;
1;Torneträsk;;7;0;0;0;0;0;0;51;51;;1959-01-16;;
1;Torneträsk;;10;0;0;0;0;0;0;57;57;;1959-01-23;;
1;Torneträsk;;10;0;0;0;0;0;0;60;60;;1959-01-30;;
1;Torneträsk;;3;0;0;0;0;0;0;62;62;;1959-02-06;;
1;Torneträsk;;5;0;0;0;0;0;0;64;64;;1959-02-13;;
1;Torneträsk;;2;0;0;0;0;0;0;64;64;;1959-02-20;;
1;Torneträsk;;2;0;0;0;0;0;0;65;65;;1959-02-27;;
1;Torneträsk;;0;0;0;0;0;0;0;67;67;;1959-03-06;;
1;Torneträsk;;0;0;0;0;0;0;0;69;69;;1959-03-13;;
1;Torneträsk;;0;0;0;0;0;0;5;68;73;;1959-03-20;;
1;Torneträsk;;0;0;0;0;0;0;0;70;70;;1959-03-27;;
1;Torneträsk;;0;0;0;0;0;0;0;68;68;;1959-04-03;;
1;Torneträsk;;0;0;0;0;0;0;0;69;69;;1959-04-10;;
1;Torneträsk;;7;0;0;0;0;0;0;71;71;;1959-04-17;;
1;Torneträsk;;7;0;0;0;0;0;0;70;70;;1959-04-24;;
1;Torneträsk;;0;0;0;0;0;0;6;60;66;;1959-05-01;;
1;Torneträsk;1958-12-18;0;0;0;0;0;0;0;0;0;1959-06-04;1959-06-04;;
1;Torneträsk;1959-12-28;0;0;0;0;0;0;0;18;18;;1959-12-28;;
1;Torneträsk;1959-12-28;0;0;0;0;0;0;0;38;38;;1960-01-08;;
1;Torneträsk;1959-12-28;4;0;0;0;0;0;0;43;43;;1960-01-15;;
1;Torneträsk;;7;0;0;0;0;0;0;48;48;;1960-01-22;;
1;Torneträsk;;4;0;0;0;0;0;0;57;57;;1960-01-29;;
1;Torneträsk;;5;0;0;0;0;0;0;63;63;;1960-02-05;;
1;Torneträsk;;12;0;0;0;0;0;0;66;66;;1960-02-12;;
1;Torneträsk;;5;0;0;0;0;0;0;72;72;;1960-02-19;;
1;Torneträsk;;4;0;0;0;0;0;0;75;75;;1960-02-26;;
1;Torneträsk;;12;0;0;0;0;0;0;75;75;;1960-03-04;;
1;Torneträsk;;7;0;0;0;0;0;0;79;79;;1960-03-11;;
1;Torneträsk;;10;0;0;0;0;0;0;81;81;;1960-03-18;;
1;Torneträsk;;5;0;0;0;0;0;0;86;86;;1960-03-25;;
1;Torneträsk;;3;0;0;0;0;0;0;88;88;;1960-04-01;;
1;Torneträsk;;0;10;0;0;0;0;0;87;87;;1960-04-08;;
1;Torneträsk;;2;0;0;0;0;0;2;83;85;;1960-04-15;;
1;Torneträsk;;0;0;0;0;0;0;5;82;87;;1960-04-22;;
1;Torneträsk;;0;0;0;0;0;0;0;85;85;;1960-04-29;;
1;Torneträsk;;0;0;0;0;0;0;5;73;78;;1960-05-06;;
1;Torneträsk;;0;0;0;0;0;0;0;71;71;;1960-05-13;;
1;Torneträsk;;0;0;0;0;0;0;7;45;52;;1960-05-20;;
1;Torneträsk;;0;0;0;0;0;0;0;0;0;;1960-05-27;;
1;Torneträsk;1959-12-28;0;0;0;0;0;0;0;0;0;1960-05-31;1960-05-31;;
1;Torneträsk;1960-12-20;0;0;0;0;0;0;0;8;8;;1960-12-23;;
1;Torneträsk;1960-12-20;5;0;0;0;0;0;0;20;20;;1960-12-30;;
1;Torneträsk;1960-12-20;5;0;0;0;0;0;0;26;26;;1961-01-06;;
1;Torneträsk;1960-12-20;6;0;0;0;0;0;0;37;37;;1961-01-13;;
1;Torneträsk;1960-12-20;10;0;0;0;0;0;0;42;42;;1961-01-20;;
1;Torneträsk;;10;0;0;0;0;0;0;45;45;;1961-01-27;;
1;Torneträsk;1960-12-20;12;0;0;0;0;0;0;51;51;;1961-02-03;;
1;Torneträsk;;0;0;0;0;0;0;37;0;37;;1961-02-06;;
1;Torneträsk;;12;0;0;0;0;0;0;52;52;;1961-02-10;;
1;Torneträsk;1960-12-20;17;0;0;0;0;0;0;53;53;;1961-02-17;;
1;Torneträsk;;3;11;0;0;0;0;0;53;53;;1961-02-24;;
