Station: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.76,-.34,-.41,-.61,-.31,-.44,-.42,.13,-.43,-.61,-.45,-.48,-.43,***,***,-.44,-.24,-.50
1881,-.73,-.56,-.30,-.20,.03,-1.05,-.48,-.19,-.30,-.43,-.50,-.10,-.40,-.43,-.59,-.16,-.58,-.41
1882,.16,-.07,-.04,-.54,-.33,-.98,-.66,-.07,-.02,-.26,-.34,-.63,-.31,-.27,.00,-.30,-.57,-.21
1883,-.63,-.89,-.41,-.26,-.30,.49,.04,-.10,-.40,-.51,-.63,-.34,-.33,-.35,-.72,-.32,.14,-.51
1884,-.54,-.29,-.34,-.88,-1.14,-.77,-.79,.21,-.30,-.71,-.76,-.95,-.60,-.55,-.39,-.79,-.45,-.59
1885,-.87,-.74,-.86,-.81,-.44,-.88,-.57,-.10,-.09,.03,-.32,.07,-.46,-.55,-.85,-.70,-.52,-.13
1886,-.71,-.78,-.64,-.58,-.50,-.78,-.34,-.68,-.37,-.81,-.44,-.70,-.61,-.55,-.47,-.57,-.60,-.54
1887,-.83,-1.23,-.56,-.81,-.82,-.63,-.38,-.23,-.58,-.52,-.89,-.63,-.68,-.68,-.92,-.73,-.41,-.66
1888,-.73,-.80,-.91,-.29,-.75,-.54,-.33,-.34,-.40,-.24,-.05,-.17,-.46,-.50,-.72,-.65,-.40,-.23
1889,-.26,.19,.09,.15,.12,-.28,-.38,-.56,-.34,-.17,-.41,-.39,-.19,-.17,-.08,.12,-.41,-.31
1890,-.57,-.59,-.58,-.49,-.88,-.53,-.57,-.58,-.31,-.23,-.73,-.48,-.55,-.54,-.52,-.65,-.56,-.43
1891,-.91,-.99,-.45,-.60,-.44,-.51,-.66,-.54,-.43,-.50,-.47,.09,-.54,-.58,-.79,-.50,-.57,-.47
1892,-.59,-.29,-.56,-.68,-.63,-.54,-.35,-.23,-.44,-.31,-.60,-.57,-.48,-.43,-.26,-.62,-.37,-.45
1893,-1.40,-.97,-.57,-.63,-.71,-.65,-.09,-.30,-.21,-.04,-.08,-.34,-.50,-.52,-.98,-.64,-.35,-.11
1894,-.73,-.59,-.36,-.61,-.63,-.45,-.35,-.28,-.37,-.05,-.12,-.14,-.39,-.40,-.55,-.53,-.36,-.18
1895,-.65,-.74,-.47,-.42,-.27,-.26,-.50,-.15,-.12,-.07,-.14,-.07,-.32,-.33,-.51,-.39,-.30,-.11
1896,-.21,-.27,-.50,-.45,-.41,-.44,-.17,-.34,-.07,.01,-.41,-.18,-.29,-.28,-.18,-.46,-.31,-.16
1897,-.23,-.46,-.27,-.09,-.23,-.15,-.08,-.28,-.11,-.18,.02,-.20,-.19,-.19,-.29,-.20,-.17,-.09
1898,-.10,-.41,-.79,-.56,-.63,-.29,-.33,-.20,.02,-.38,-.47,-.19,-.36,-.36,-.24,-.66,-.27,-.28
1899,-.41,-.58,-.35,-.22,-.39,-.52,-.29,-.26,.00,-.27,.00,-.19,-.29,-.29,-.39,-.32,-.36,-.09
1900,-.52,-.03,-.16,-.15,-.16,-.10,-.34,-.16,-.07,.16,-.13,-.07,-.15,-.15,-.25,-.16,-.20,-.01
1901,-.22,-.10,-.12,-.07,-.19,.03,-.24,-.19,.05,-.15,-.12,-.20,-.13,-.12,-.13,-.13,-.13,-.07
1902,-.28,-.02,-.17,-.18,-.30,-.32,-.43,-.49,-.39,-.40,-.46,-.53,-.33,-.30,-.17,-.22,-.41,-.42
1903,-.32,-.11,-.16,-.54,-.44,-.62,-.28,-.40,-.37,-.45,-.43,-.57,-.39,-.39,-.32,-.38,-.43,-.42
1904,-.76,-.72,-.53,-.41,-.61,-.46,-.58,-.46,-.41,-.49,-.22,-.38,-.50,-.52,-.69,-.52,-.50,-.37
1905,-.39,-.94,-.20,-.30,-.32,-.27,-.41,-.24,-.19,-.34,-.05,-.23,-.32,-.34,-.57,-.28,-.31,-.19
1906,-.15,-.30,-.31,.07,-.17,-.21,-.19,-.14,-.28,-.16,-.51,-.23,-.21,-.21,-.23,-.14,-.18,-.32
1907,-.47,-.65,-.45,-.58,-.57,-.65,-.40,-.52,-.37,-.30,-.57,-.64,-.51,-.48,-.45,-.53,-.52,-.41
1908,-.35,-.30,-.49,-.44,-.31,-.41,-.37,-.36,-.13,-.36,-.55,-.37,-.37,-.39,-.43,-.41,-.38,-.35
1909,-.75,-.55,-.47,-.58,-.56,-.40,-.32,-.07,-.15,-.13,-.11,-.51,-.38,-.37,-.56,-.54,-.26,-.13
1910,-.43,-.35,-.44,-.28,-.23,-.33,-.20,-.11,-.07,-.26,-.50,-.63,-.32,-.31,-.43,-.32,-.22,-.28
1911,-.64,-.64,-.59,-.51,-.36,-.36,-.14,-.23,-.23,-.15,-.11,-.22,-.35,-.38,-.63,-.49,-.24,-.17
1912,-.16,-.09,-.40,-.27,-.17,-.24,-.48,-.60,-.33,-.44,-.40,-.31,-.32,-.32,-.16,-.28,-.44,-.39
1913,-.43,-.47,-.56,-.29,-.61,-.60,-.20,-.19,-.19,-.28,-.12,.07,-.32,-.35,-.40,-.49,-.33,-.20
1914,.16,-.02,-.04,-.19,-.02,-.10,-.21,-.06,-.06,.14,-.31,-.19,-.07,-.05,.07,-.08,-.12,-.07
1915,-.15,.07,-.09,-.01,-.19,-.20,.05,-.18,.01,-.07,.06,-.08,-.07,-.07,-.09,-.10,-.11,.00
1916,-.05,-.10,-.44,-.26,-.33,-.48,-.34,-.09,-.15,-.12,-.35,-.78,-.29,-.23,-.07,-.34,-.30,-.21
1917,-.50,-.72,-.77,-.51,-.78,-.44,.02,-.37,-.30,-.48,-.29,-.92,-.50,-.49,-.67,-.68,-.26,-.36
