Station: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.85,-.42,-.49,-.68,-.38,-.50,-.49,.05,-.52,-.68,-.53,-.55,-.51,***,***,-.52,-.32,-.58
1881,-.81,-.64,-.38,-.29,-.06,-1.16,-.58,-.30,-.38,-.52,-.61,-.19,-.50,-.53,-.67,-.25,-.68,-.50
1882,.06,-.16,-.13,-.64,-.43,-1.07,-.76,-.17,-.13,-.36,-.44,-.72,-.41,-.37,-.10,-.40,-.67,-.31
1883,-.73,-.99,-.50,-.36,-.40,.41,-.05,-.19,-.49,-.59,-.72,-.43,-.42,-.44,-.81,-.42,.06,-.60
1884,-.66,-.39,-.44,-.98,-1.24,-.88,-.90,.10,-.42,-.82,-.87,-1.06,-.71,-.66,-.49,-.89,-.56,-.70
1885,-.97,-.84,-.96,-.91,-.54,-.98,-.68,-.21,-.20,-.07,-.43,-.04,-.57,-.65,-.96,-.80,-.62,-.23
1886,-.81,-.87,-.72,-.67,-.61,-.88,-.45,-.78,-.47,-.90,-.54,-.80,-.71,-.64,-.57,-.66,-.70,-.63
1887,-.91,-1.31,-.62,-.88,-.91,-.71,-.45,-.30,-.66,-.57,-.96,-.70,-.75,-.76,-1.01,-.80,-.49,-.73
1888,-.78,-.85,-.94,-.35,-.81,-.59,-.40,-.39,-.45,-.30,-.10,-.21,-.51,-.56,-.78,-.70,-.46,-.28
1889,-.33,.13,.03,.09,.07,-.34,-.44,-.63,-.40,-.23,-.47,-.44,-.25,-.23,-.14,.06,-.47,-.37
1890,-.64,-.66,-.64,-.53,-.94,-.61,-.60,-.62,-.36,-.29,-.81,-.56,-.60,-.59,-.58,-.70,-.61,-.49
1891,-.97,-1.07,-.51,-.66,-.50,-.57,-.72,-.60,-.50,-.54,-.53,.04,-.59,-.64,-.87,-.56,-.63,-.52
1892,-.63,-.31,-.59,-.71,-.67,-.57,-.41,-.29,-.52,-.37,-.67,-.65,-.53,-.48,-.30,-.66,-.42,-.52
1893,-1.47,-1.04,-.63,-.70,-.79,-.73,-.17,-.36,-.29,-.11,-.16,-.42,-.57,-.59,-1.05,-.71,-.42,-.19
1894,-.80,-.65,-.43,-.67,-.69,-.52,-.42,-.36,-.45,-.11,-.18,-.20,-.46,-.47,-.62,-.60,-.43,-.24
1895,-.72,-.81,-.54,-.50,-.35,-.33,-.56,-.22,-.18,-.12,-.19,-.12,-.39,-.39,-.58,-.46,-.37,-.16
1896,-.25,-.31,-.55,-.49,-.46,-.47,-.21,-.38,-.11,-.03,-.45,-.22,-.33,-.32,-.23,-.50,-.35,-.20
1897,-.29,-.52,-.32,-.13,-.27,-.19,-.13,-.33,-.16,-.23,-.03,-.24,-.24,-.23,-.34,-.24,-.22,-.14
1898,-.15,-.47,-.83,-.61,-.67,-.33,-.38,-.24,-.03,-.41,-.51,-.24,-.41,-.41,-.29,-.70,-.32,-.32
1899,-.45,-.62,-.40,-.26,-.43,-.56,-.33,-.29,-.04,-.30,-.04,-.23,-.33,-.33,-.44,-.36,-.39,-.13
1900,-.55,-.07,-.19,-.18,-.20,-.12,-.37,-.17,-.07,.16,-.12,-.08,-.16,-.18,-.28,-.19,-.22,-.01
1901,-.23,-.13,-.13,-.10,-.22,.02,-.25,-.21,.02,-.18,-.15,-.24,-.15,-.14,-.15,-.15,-.15,-.10
1902,-.31,-.05,-.19,-.20,-.33,-.36,-.45,-.52,-.40,-.44,-.49,-.56,-.36,-.33,-.20,-.24,-.44,-.44
