Station: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.96,-.76,-.75,-.88,-.35,-.35,-.19,-.28,-.45,-.50,-.85,-1.08,-.62,***,***,-.66,-.27,-.60
1881,-.63,-.75,-.35,-.27,-.25,-.79,-.36,-.12,-.27,-.64,-.61,-.57,-.47,-.51,-.82,-.29,-.42,-.51
1882,.23,.17,-.14,-.65,-.60,-.55,-.50,-.19,-.36,-.83,-.92,-1.12,-.45,-.41,-.05,-.46,-.41,-.71
1883,-1.13,-1.23,-.59,-.57,-.61,-.29,-.21,-.44,-.49,-.47,-.86,-.73,-.63,-.67,-1.16,-.59,-.31,-.61
1884,-.79,-.68,-1.24,-1.16,-.86,-.86,-.63,-.74,-.76,-.74,-.89,-.80,-.85,-.84,-.73,-1.09,-.74,-.80
1885,-1.73,-.60,-.57,-.78,-.84,-.62,-.36,-.54,-.49,-.75,-.59,-.09,-.66,-.72,-1.04,-.73,-.50,-.61
1886,-1.48,-1.26,-1.00,-.51,-.50,-.57,-.07,-.41,-.35,-.47,-.76,-.34,-.64,-.62,-.94,-.67,-.35,-.52
1887,-1.69,-1.13,-.68,-.79,-.33,-.32,-.12,-.67,-.30,-.67,-.53,-.98,-.68,-.63,-1.05,-.60,-.37,-.50
1888,-1.29,-1.29,-1.20,-.59,-.62,-.45,-.21,-.42,-.40,-.34,-.35,-.77,-.66,-.68,-1.19,-.81,-.36,-.36
1889,-.96,-.01,-.12,.23,.00,-.13,-.17,-.25,-.42,-.59,-.99,-.79,-.35,-.35,-.58,.04,-.18,-.67
1890,-.96,-.69,-.73,-.54,-.74,-.32,-.21,-.32,-.23,-.09,-.92,-.60,-.53,-.54,-.81,-.67,-.28,-.41
1891,-.97,-1.15,-.32,-.58,-.46,-.32,-.24,-.21,-.08,-.50,-.96,.06,-.48,-.53,-.91,-.46,-.26,-.51
1892,-.85,-.38,-.99,-.82,-.52,-.03,-.34,-.33,-.08,-.17,-1.07,-.93,-.54,-.46,-.39,-.78,-.23,-.44
1893,-2.38,-1.40,-.36,-.36,-.57,-.19,.00,-.17,-.16,-.07,-.22,-.76,-.55,-.57,-1.57,-.43,-.12,-.15
1894,-1.17,-.70,-.06,-.64,-.44,-.37,-.07,-.10,-.28,-.30,-.73,-.44,-.44,-.47,-.87,-.38,-.18,-.44
1895,-1.24,-1.34,-.58,-.27,-.28,-.23,-.18,-.23,.09,-.24,-.14,-.44,-.42,-.42,-1.01,-.37,-.21,-.10
1896,-.70,-.46,-.93,-.92,-.38,.12,.06,-.20,-.08,.05,-.60,-.60,-.39,-.37,-.53,-.74,-.01,-.21
1897,-.58,-.54,-.69,-.16,.10,-.12,.04,-.02,-.10,-.19,-.30,-.33,-.24,-.26,-.57,-.25,-.03,-.20
1898,.01,-.62,-1.03,-.32,-.46,-.10,-.11,.05,-.06,-.37,-.61,-.33,-.33,-.33,-.31,-.60,-.05,-.35
1899,-.15,-.89,-.57,-.10,-.23,-.29,-.03,.06,.05,.10,.53,-.67,-.18,-.15,-.46,-.30,-.09,.23
1900,-.89,-.15,.15,-.27,-.07,-.13,-.17,.01,-.01,.27,-.18,-.01,-.12,-.17,-.57,-.06,-.09,.02
1901,-.56,-.02,.39,.24,-.17,.10,.18,-.02,-.15,-.23,-.32,-.48,-.09,-.05,-.20,.15,.09,-.23
1902,-.22,.18,-.42,-.52,-.58,-.47,-.37,-.28,-.32,-.43,-.71,-.89,-.42,-.38,-.18,-.50,-.37,-.49
1903,-.29,.35,.08,-.48,-.54,-.60,-.39,-.51,-.32,-.45,-.37,-.65,-.35,-.37,-.28,-.31,-.50,-.38
