Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.34,-.50,-.22,-.29,-.05,-.14,-.16,-.24,-.21,-.30,-.41,-.38,-.27,***,***,-.18,-.18,-.31
1881,-.30,-.21,-.03,.01,.04,-.31,.10,-.02,-.25,-.42,-.36,-.22,-.16,-.18,-.30,.01,-.08,-.34
1882,.28,.23,.04,-.30,-.24,-.28,-.25,-.13,-.23,-.51,-.31,-.67,-.20,-.16,.10,-.17,-.22,-.35
1883,-.56,-.65,-.15,-.29,-.24,-.10,-.04,-.21,-.32,-.15,-.44,-.14,-.27,-.32,-.63,-.23,-.12,-.30
1884,-.16,-.11,-.63,-.59,-.36,-.40,-.44,-.49,-.44,-.44,-.56,-.46,-.42,-.40,-.14,-.53,-.44,-.48
1885,-1.00,-.43,-.21,-.47,-.56,-.43,-.31,-.38,-.37,-.34,-.36,-.09,-.41,-.44,-.63,-.42,-.37,-.36
1886,-.71,-.81,-.69,-.35,-.31,-.35,-.12,-.41,-.31,-.29,-.37,-.18,-.41,-.40,-.54,-.45,-.29,-.32
1887,-1.06,-.68,-.41,-.36,-.23,-.18,-.22,-.52,-.18,-.46,-.25,-.42,-.41,-.39,-.64,-.33,-.31,-.30
1888,-.46,-.58,-.60,-.19,-.13,-.01,.02,-.18,-.18,-.01,.03,-.23,-.21,-.23,-.49,-.31,-.06,-.05
1889,-.25,.33,-.01,.18,-.02,-.05,-.06,-.19,-.28,-.40,-.60,-.53,-.16,-.13,-.05,.05,-.10,-.43
1890,-.62,-.58,-.46,-.23,-.35,-.14,-.21,-.38,-.33,-.08,-.62,-.45,-.37,-.38,-.58,-.34,-.24,-.35
1891,-.45,-.67,-.14,-.34,-.14,-.11,-.11,-.11,-.06,-.27,-.51,-.02,-.24,-.28,-.52,-.21,-.11,-.28
1892,-.48,-.14,-.66,-.44,-.22,-.04,-.36,-.31,-.18,-.26,-.81,-.64,-.38,-.33,-.21,-.44,-.24,-.42
1893,-1.50,-.94,-.31,-.29,-.43,-.18,-.13,-.33,-.28,-.27,-.33,-.61,-.47,-.47,-1.03,-.34,-.21,-.29
1894,-.90,-.40,-.19,-.53,-.25,-.39,-.19,-.25,-.31,-.25,-.46,-.34,-.37,-.40,-.64,-.32,-.28,-.34
1895,-.67,-.79,-.47,-.16,-.28,-.18,-.16,-.25,-.04,-.07,-.11,-.20,-.28,-.29,-.60,-.30,-.20,-.07
