Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.19,-.32,-.05,-.40,-.16,-.01,-1.09,-.49,-.27,-.20,-.11,-.04,.05,.65
1881,-.10,-.19,-.01,-.34,.06,-.07,-.93,-.48,-.16,.04,.08,-.05,-.07,.58
1882,-.11,-.22,.00,-.30,-.06,.03,-1.51,-.28,-.10,-.08,-.04,.03,.04,.61
1883,-.19,-.32,-.06,-.38,-.20,.01,-.38,-.61,-.23,-.23,-.16,-.01,.07,.48
1884,-.29,-.44,-.15,-.58,-.20,-.13,-1.35,-.60,-.42,-.22,-.18,-.18,-.02,.63
1885,-.31,-.41,-.23,-.60,-.15,-.25,-1.22,-.67,-.43,-.08,-.21,-.30,-.15,.80
1886,-.32,-.42,-.23,-.53,-.24,-.22,-1.29,-.49,-.42,-.24,-.25,-.21,-.20,.57
1887,-.35,-.41,-.29,-.47,-.31,-.28,-1.61,-.46,-.27,-.30,-.33,-.27,-.26,.30
1888,-.18,-.23,-.13,-.43,.08,-.29,-1.51,-.42,-.22,.08,.09,-.31,-.23,.14
1889,-.11,-.17,-.05,-.29,.06,-.16,-.90,-.19,-.23,.01,.11,-.15,-.15,.43
1890,-.37,-.42,-.33,-.48,-.41,-.22,-1.33,-.53,-.28,-.33,-.49,-.17,-.28,.13
1891,-.24,-.27,-.20,-.42,-.11,-.21,-1.32,-.28,-.34,-.03,-.20,-.17,-.24,-.17
1892,-.27,-.39,-.16,-.42,-.30,-.08,-1.37,-.59,-.14,-.33,-.27,.03,-.22,.07
1893,-.32,-.46,-.18,-.49,-.38,-.07,-.96,-.50,-.38,-.42,-.35,.04,-.21,-.06
1894,-.31,-.39,-.23,-.34,-.34,-.24,-1.42,-.25,-.14,-.47,-.21,-.16,-.35,-.39
1895,-.23,-.29,-.16,-.39,-.08,-.26,-1.01,-.44,-.21,-.13,-.02,-.20,-.32,-.60
1896,-.12,-.20,-.03,-.37,.10,-.15,-1.30,-.34,-.17,.06,.14,-.15,-.14,.24
1897,-.12,-.18,-.06,-.35,.14,-.24,-.83,-.38,-.22,.10,.18,-.20,-.28,.39
1898,-.28,-.30,-.27,-.33,-.26,-.27,-1.28,-.14,-.21,-.24,-.28,-.28,-.21,.36
1899,-.19,-.21,-.16,-.22,-.15,-.20,-1.12,.01,-.15,-.20,-.10,-.17,-.22,.57
1900,-.10,-.09,-.09,-.19,.14,-.31,-.67,-.07,-.15,.08,.20,-.30,-.29,.25
1901,-.16,-.10,-.21,-.13,-.06,-.31,-.61,-.01,-.08,-.06,-.06,-.28,-.34,.24
1902,-.30,-.34,-.25,-.52,-.09,-.36,-1.68,-.40,-.29,-.07,-.11,-.30,-.43,-.06
1903,-.39,-.39,-.39,-.47,-.32,-.40,-.56,-.36,-.50,-.26,-.39,-.37,-.40,-.48
1904,-.49,-.50,-.49,-.51,-.51,-.44,-.33,-.54,-.53,-.48,-.55,-.38,-.49,-1.30
