Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.15,-.27,-.04,-.34,-.12,-.01,-.80,-.44,-.25,-.15,-.10,-.03,.05,.65
1881,-.07,-.16,.01,-.32,.11,-.06,-.91,-.41,-.17,.10,.11,-.04,-.07,.58
1882,-.10,-.19,.00,-.28,-.04,.02,-1.40,-.23,-.11,-.05,-.04,.02,.04,.61
1883,-.16,-.26,-.06,-.31,-.16,.00,-.18,-.52,-.21,-.18,-.15,-.03,.07,.48
1884,-.27,-.41,-.14,-.58,-.14,-.13,-1.30,-.61,-.43,-.13,-.16,-.18,-.02,.63
1885,-.32,-.42,-.24,-.63,-.13,-.27,-1.51,-.66,-.43,-.06,-.20,-.33,-.15,.80
1886,-.30,-.42,-.19,-.54,-.19,-.21,-1.58,-.47,-.38,-.21,-.18,-.19,-.20,.57
1887,-.35,-.42,-.28,-.50,-.29,-.28,-1.76,-.48,-.27,-.29,-.30,-.27,-.26,.30
1888,-.16,-.22,-.11,-.40,.10,-.28,-1.30,-.40,-.22,.07,.13,-.30,-.22,.14
1889,-.10,-.16,-.04,-.27,.08,-.16,-.68,-.19,-.26,.02,.14,-.15,-.15,.43
1890,-.34,-.37,-.32,-.44,-.37,-.22,-1.13,-.52,-.26,-.27,-.47,-.17,-.27,.13
1891,-.22,-.25,-.19,-.42,-.08,-.21,-1.14,-.32,-.35,.00,-.16,-.17,-.23,-.17
1892,-.27,-.39,-.15,-.43,-.30,-.07,-1.18,-.64,-.16,-.33,-.26,.03,-.21,.07
1893,-.31,-.47,-.15,-.51,-.36,-.04,-.74,-.54,-.45,-.41,-.30,.08,-.20,-.06
1894,-.30,-.38,-.21,-.32,-.33,-.23,-.99,-.32,-.17,-.48,-.17,-.14,-.35,-.39
1895,-.22,-.29,-.14,-.39,-.07,-.25,-.69,-.52,-.25,-.14,.01,-.19,-.32,-.60
1896,-.10,-.18,-.03,-.34,.10,-.15,-.88,-.35,-.20,.06,.14,-.14,-.13,.24
1897,-.10,-.16,-.05,-.34,.17,-.23,-.59,-.45,-.22,.14,.20,-.18,-.27,.38
1898,-.26,-.26,-.26,-.32,-.22,-.26,-1.13,-.18,-.21,-.18,-.27,-.27,-.21,.36
1899,-.17,-.20,-.14,-.23,-.12,-.18,-1.06,-.08,-.13,-.15,-.08,-.15,-.22,.56
1900,-.07,-.07,-.06,-.18,.17,-.29,-.55,-.11,-.14,.09,.25,-.28,-.29,.25
1901,-.15,-.11,-.18,-.14,-.03,-.30,-.39,-.08,-.13,-.05,-.01,-.27,-.33,.24
1902,-.27,-.31,-.22,-.50,-.03,-.34,-1.32,-.48,-.30,-.02,-.05,-.27,-.43,-.07
1903,-.36,-.36,-.36,-.44,-.28,-.38,-.21,-.40,-.54,-.23,-.33,-.35,-.40,-.48
1904,-.46,-.47,-.45,-.49,-.45,-.43,-.15,-.58,-.53,-.43,-.48,-.36,-.49,-1.30
1905,-.25,-.28,-.22,-.39,-.08,-.35,-.07,-.21,-.60,-.11,-.04,-.32,-.37,-.32
1906,-.21,-.22,-.20,-.24,-.18,-.23,-.27,-.04,-.37,-.21,-.16,-.19,-.22,-.69
1907,-.37,-.46,-.29,-.57,-.29,-.29,-.59,-.70,-.50,-.30,-.29,-.20,-.36,-1.18
1908,-.42,-.45,-.39,-.47,-.43,-.35,-.25,-.53,-.50,-.42,-.44,-.28,-.48,.69
1909,-.47,-.48,-.46,-.52,-.47,-.43,-.76,-.60,-.42,-.44,-.51,-.36,-.52,-.55
1910,-.43,-.44,-.42,-.40,-.48,-.37,-.57,-.22,-.47,-.49,-.48,-.32,-.45,.18
1911,-.43,-.41,-.44,-.41,-.41,-.47,-.28,-.40,-.45,-.42,-.40,-.43,-.52,.07
1912,-.35,-.45,-.23,-.58,-.17,-.36,-.49,-.77,-.48,-.27,-.07,-.36,-.29,-1.61
1913,-.33,-.41,-.25,-.43,-.26,-.34,-.50,-.32,-.48,-.38,-.13,-.27,-.40,-1.02
1914,-.14,-.18,-.10,-.24,-.05,-.17,-.37,-.16,-.26,-.11,.00,-.15,-.18,-.35
1915,-.13,-.13,-.12,-.22,.00,-.21,-.60,-.16,-.17,.00,.00,-.14,-.23,-1.96
1916,-.35,-.40,-.29,-.36,-.43,-.22,-.46,-.53,-.22,-.48,-.39,-.21,-.17,-1.03
1917,-.45,-.56,-.35,-.49,-.62,-.18,-.83,-.49,-.41,-.67,-.57,-.22,-.09,.08
