Time,Precipitation
1/1/2019,n/a
1/2/2019,8.8
1/3/2019,0.8
1/4/2019,8.2
1/5/2019,n/a
1/6/2019,n/a
1/7/2019,0.3
1/8/2019,1.0
1/9/2019,1.9
1/10/2019,0.0
1/11/2019,4.5
1/12/2019,n/a
1/13/2019,n/a
1/14/2019,4.8
1/15/2019,0.4
1/16/2019,1.6
1/17/2019,0.7
1/18/2019,1.3
1/19/2019,n/a
1/20/2019,n/a
1/21/2019,0.7
1/22/2019,0.0
1/23/2019,2.4
1/24/2019,0.3
1/25/2019,
1/26/2019,n/a
1/27/2019,n/a
1/28/2019,1.6
1/29/2019,0.4
1/30/2019,
1/31/2019,
2/1/2019,
2/2/2019,n/a
2/3/2019,n/a
2/4/2019,0.0
2/5/2019,0.0
2/6/2019,
2/7/2019,
2/8/2019,
2/9/2019,n/a
2/10/2019,n/a
2/11/2019,0.5
2/12/2019,0.3
2/13/2019,1.0
2/14/2019,0.4
2/15/2019,10.5
2/16/2019,n/a
2/17/2019,n/a
2/18/2019,7.3
2/19/2019,7.3
2/20/2019,3.4
2/21/2019,
2/22/2019,
2/23/2019,n/a
2/24/2019,n/a
2/25/2019,6.7
2/26/2019,0.3
2/27/2019,2.1
2/28/2019,1.4
3/1/2019,0.1
3/2/2019,n/a
3/3/2019,n/a
3/4/2019,5.7
3/5/2019,0.9
3/6/2019,3.7
3/7/2019,3.5
3/8/2019,
3/9/2019,n/a
3/10/2019,n/a
3/11/2019,0.5
3/12/2019,
3/13/2019,
3/14/2019,
3/15/2019,0.0
3/16/2019,n/a
3/17/2019,n/a
3/18/2019,0.4
3/19/2019,0.5
3/20/2019,0.0
3/21/2019,0.0
3/22/2019,1.2
3/23/2019,n/a
3/24/2019,n/a
3/25/2019,3.2
3/26/2019,0.2
3/27/2019,0.5
3/28/2019,0.3
3/29/2019,14.4
3/30/2019,n/a
3/31/2019,n/a
4/1/2019,3.6
4/2/2019,2.8
4/3/2019,
4/4/2019,1.8
4/5/2019,
4/6/2019,n/a
4/7/2019,n/a
4/8/2019,
4/9/2019,
4/10/2019,
4/11/2019,
4/12/2019,
4/13/2019,n/a
4/14/2019,n/a
4/15/2019,
4/16/2019,
4/17/2019,
4/18/2019,
4/19/2019,n/a
4/20/2019,n/a
4/21/2019,n/a
4/22/2019,n/a
4/23/2019,1.1
4/24/2019,
4/25/2019,
4/26/2019,
4/27/2019,n/a
4/28/2019,n/a
4/29/2019,
4/30/2019,
5/1/2019,0.3
5/2/2019,0.0
5/3/2019,0.0
5/4/2019,n/a
5/5/2019,n/a
5/6/2019,0.0
5/7/2019,0.0
5/8/2019,1.8
5/9/2019,1.2
5/10/2019,0.1
5/11/2019,n/a
5/12/2019,n/a
5/13/2019,9.0
5/14/2019,0.0
5/15/2019,0.0
5/16/2019,0.0
5/17/2019,
5/18/2019,n/a
5/19/2019,n/a
5/20/2019,
5/21/2019,
5/22/2019,0.0
5/23/2019,0.0
5/24/2019,
5/25/2019,n/a
5/26/2019,n/a
5/27/2019,0.0
5/28/2019,
5/29/2019,1.7
5/30/2019,n/a
5/31/2019,4.8
6/1/2019,n/a
6/2/2019,n/a
6/3/2019,
6/4/2019,3.1
6/5/2019,1.0
6/6/2019,n/a
6/7/2019,
6/8/2019,n/a
6/9/2019,n/a
6/10/2019,16.7
6/11/2019,3.6
6/12/2019,0.0
6/13/2019,
6/14/2019,
6/15/2019,n/a
6/16/2019,n/a
6/17/2019,
6/18/2019,
6/19/2019,1.2
6/20/2019,0.1
6/21/2019,n/a
6/22/2019,n/a
6/23/2019,n/a
6/24/2019,19.2
