Time,Temp_avg,Temp_min,Temp_max,Precipitation
1/1/1913,-10.0,-13.6,-2.7,0.1
1/2/1913,-6.7,-12.5,0.8,1.8
1/3/1913,-4.1,-8.9,0.8,
1/4/1913,-8.9,-12.4,-6.8,0.5
1/5/1913,-10.5,-13.5,-6.5,
1/6/1913,-9.8,-16.2,-6.6,0.3
1/7/1913,-16.7,-19.9,-14.4,
1/8/1913,-14.5,-21.5,-10,
1/9/1913,-10.4,-13.2,-7.3,0.1
1/10/1913,-13.1,-15.8,-9.4,0.1
1/11/1913,-15.3,-16.9,-13.5,0.2
1/12/1913,-18.0,-20.7,-14.7,
1/13/1913,-14.6,-20.3,-9.9,0.0
1/14/1913,-18.7,-22.9,-10.4,0.1
1/15/1913,-20.3,-25.5,-15.3,0.0
1/16/1913,-19.6,-24,-9.6,0.1
1/17/1913,-9.8,-17.3,-7.5,0.0
1/18/1913,-19.4,-21.8,-14.8,0.1
1/19/1913,-23.9,-27,-19.6,0.0
1/20/1913,-8.6,-19.9,-3.8,15.1
1/21/1913,-11.2,-19.8,-4.1,
1/22/1913,-26.7,-33.4,-18.8,0.0
1/23/1913,-16.5,-25,-14.3,0.4
1/24/1913,-19.5,-23.8,-15,0.2
1/25/1913,-16.6,-21.4,-13.4,0.3
1/26/1913,-18.1,-22.4,-15.6,
1/27/1913,-22.2,-28.5,-17.9,0.0
1/28/1913,-18.7,-29.5,-7.2,0.1
1/29/1913,-5.3,-8.6,-1.6,0.1
1/30/1913,-4.6,-8.6,-1.6,
1/31/1913,-11.1,-17,-2.6,
2/1/1913,-6.3,-9.9,-2,1.0
2/2/1913,-11.8,-20.6,-8.2,0.1
2/3/1913,-24.2,-26.7,-19.3,0.1
2/4/1913,-12.3,-23.8,-8.2,1.0
2/5/1913,-6.5,-12.8,-2.7,0.2
2/6/1913,-12.2,-16.8,-8.3,0.0
2/7/1913,-12.4,-19,-7.2,0.1
2/8/1913,-7.1,-11.3,-4.4,
2/9/1913,-9.1,-13.3,-5.6,0.3
2/10/1913,-9.5,-13.8,-7.1,0.7
2/11/1913,-4.2,-12.7,-0.5,0.7
2/12/1913,-1.0,-6.5,1.4,0.8
2/13/1913,1.2,-0.4,2.3,0.3
