Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.17,-.23,-.08,-.15,-.08,-.19,-.17,-.08,-.13,-.22,-.20,-.16,-.15,***,***,-.10,-.15,-.18
1881,-.18,-.13,.04,.06,.08,-.17,.02,-.02,-.14,-.20,-.17,-.05,-.07,-.08,-.16,.06,-.06,-.17
1882,.18,.15,.06,-.15,-.13,-.21,-.15,-.06,-.13,-.22,-.15,-.34,-.10,-.07,.09,-.08,-.14,-.17
1883,-.28,-.35,-.11,-.17,-.16,-.06,-.05,-.12,-.20,-.10,-.21,-.10,-.16,-.18,-.32,-.15,-.08,-.17
1884,-.11,-.06,-.35,-.39,-.32,-.35,-.31,-.26,-.26,-.24,-.32,-.30,-.27,-.25,-.09,-.35,-.30,-.27
1885,-.57,-.32,-.25,-.40,-.44,-.42,-.33,-.30,-.27,-.23,-.22,-.09,-.32,-.34,-.40,-.37,-.35,-.24
1886,-.42,-.50,-.42,-.27,-.23,-.33,-.17,-.30,-.23,-.26,-.26,-.24,-.30,-.29,-.34,-.31,-.27,-.25
1887,-.70,-.56,-.35,-.33,-.29,-.23,-.25,-.34,-.24,-.34,-.25,-.32,-.35,-.34,-.50,-.32,-.27,-.28
1888,-.33,-.35,-.40,-.19,-.21,-.16,-.10,-.15,-.11,.02,.04,-.03,-.16,-.19,-.33,-.27,-.14,-.02
1889,-.07,.18,.06,.10,.00,-.09,-.07,-.20,-.23,-.25,-.32,-.28,-.10,-.08,.02,.05,-.12,-.27
1890,-.41,-.44,-.39,-.29,-.38,-.24,-.27,-.38,-.35,-.24,-.42,-.30,-.34,-.34,-.37,-.36,-.30,-.34
1891,-.33,-.46,-.18,-.27,-.16,-.20,-.17,-.17,-.15,-.21,-.30,-.04,-.22,-.24,-.36,-.20,-.18,-.22
1892,-.28,-.10,-.40,-.33,-.23,-.22,-.31,-.26,-.16,-.14,-.41,-.38,-.27,-.24,-.14,-.32,-.27,-.24
1893,-.81,-.56,-.22,-.27,-.33,-.25,-.13,-.24,-.21,-.18,-.18,-.31,-.31,-.31,-.58,-.27,-.21,-.19
1894,-.52,-.28,-.23,-.44,-.30,-.40,-.23,-.23,-.27,-.22,-.25,-.20,-.30,-.31,-.37,-.32,-.29,-.25
