Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.27,-.04,-.35,-.12,-.02,-.83,-.43,-.26,-.15,-.09,-.04,.05,.64
1881,-.08,-.16,.00,-.33,.11,-.07,-.92,-.41,-.19,.10,.11,-.06,-.07,.56
1882,-.10,-.20,-.01,-.29,-.04,.01,-1.42,-.23,-.13,-.05,-.04,.01,.03,.59
1883,-.17,-.27,-.06,-.33,-.16,-.01,-.20,-.53,-.25,-.17,-.15,-.04,.07,.47
1884,-.28,-.42,-.15,-.60,-.14,-.14,-1.32,-.63,-.45,-.13,-.16,-.19,-.02,.62
1885,-.32,-.41,-.24,-.63,-.12,-.27,-1.50,-.64,-.44,-.05,-.19,-.33,-.15,.79
1886,-.30,-.41,-.20,-.54,-.18,-.21,-1.58,-.45,-.39,-.19,-.17,-.20,-.21,.56
1887,-.35,-.41,-.29,-.50,-.28,-.28,-1.75,-.47,-.28,-.27,-.30,-.28,-.26,.29
1888,-.16,-.21,-.12,-.39,.11,-.29,-1.29,-.38,-.23,.09,.12,-.31,-.23,.13
1889,-.10,-.16,-.04,-.28,.09,-.16,-.67,-.18,-.27,.04,.14,-.15,-.15,.42
1890,-.35,-.37,-.32,-.45,-.36,-.23,-1.12,-.54,-.27,-.24,-.47,-.18,-.27,.12
1891,-.22,-.24,-.19,-.42,-.07,-.22,-1.14,-.31,-.36,.03,-.16,-.18,-.24,-.19
1892,-.27,-.38,-.16,-.43,-.28,-.08,-1.16,-.63,-.17,-.30,-.26,.02,-.21,.06
1893,-.31,-.47,-.15,-.51,-.35,-.05,-.73,-.53,-.47,-.40,-.30,.07,-.20,-.07
1894,-.30,-.37,-.22,-.32,-.32,-.24,-.99,-.31,-.18,-.45,-.18,-.15,-.35,-.41
1895,-.22,-.28,-.15,-.39,-.06,-.26,-.67,-.49,-.26,-.11,.00,-.19,-.32,-.61
1896,-.10,-.18,-.03,-.34,.11,-.16,-.91,-.34,-.21,.08,.14,-.16,-.13,.22
1897,-.10,-.15,-.05,-.34,.18,-.24,-.56,-.44,-.23,.16,.20,-.19,-.27,.37
1898,-.26,-.26,-.27,-.32,-.21,-.27,-1.12,-.17,-.23,-.16,-.26,-.28,-.21,.34
1899,-.17,-.20,-.14,-.23,-.11,-.19,-1.04,-.06,-.15,-.14,-.08,-.15,-.22,.55
1900,-.07,-.07,-.07,-.19,.18,-.30,-.56,-.11,-.15,.11,.26,-.29,-.29,.24
1901,-.15,-.11,-.18,-.16,-.03,-.31,-.45,-.08,-.14,-.04,-.01,-.27,-.34,.23
1902,-.28,-.33,-.22,-.53,-.03,-.35,-1.43,-.49,-.32,-.01,-.05,-.28,-.43,-.08
1903,-.37,-.37,-.36,-.47,-.28,-.39,-.31,-.40,-.55,-.23,-.33,-.35,-.40,-.49
1904,-.46,-.47,-.46,-.50,-.45,-.44,-.19,-.57,-.54,-.43,-.48,-.37,-.49,-1.31
1905,-.26,-.28,-.22,-.40,-.07,-.36,-.08,-.21,-.62,-.11,-.04,-.33,-.37,-.33
1906,-.22,-.23,-.21,-.25,-.19,-.24,-.29,-.05,-.39,-.21,-.16,-.21,-.23,-.71
1907,-.38,-.47,-.29,-.59,-.30,-.29,-.61,-.71,-.51,-.30,-.30,-.21,-.37,-1.20
1908,-.43,-.46,-.40,-.48,-.43,-.36,-.27,-.53,-.51,-.42,-.45,-.29,-.48,.68
1909,-.48,-.49,-.47,-.53,-.47,-.44,-.77,-.60,-.44,-.44,-.51,-.37,-.52,-.56
1910,-.43,-.45,-.42,-.41,-.49,-.38,-.60,-.23,-.49,-.50,-.48,-.33,-.45,.16
1911,-.44,-.42,-.45,-.42,-.41,-.48,-.32,-.41,-.47,-.42,-.41,-.44,-.53,.05
1912,-.36,-.46,-.24,-.59,-.17,-.37,-.52,-.77,-.50,-.27,-.07,-.36,-.29,-1.63
1913,-.34,-.42,-.26,-.44,-.27,-.35,-.52,-.32,-.50,-.39,-.13,-.28,-.40,-1.03
1914,-.15,-.20,-.10,-.25,-.06,-.18,-.39,-.15,-.28,-.12,.00,-.15,-.18,-.36
1915,-.14,-.14,-.13,-.23,.00,-.22,-.62,-.15,-.19,-.01,.00,-.15,-.24,-1.98
1916,-.36,-.42,-.30,-.37,-.44,-.23,-.51,-.53,-.24,-.49,-.39,-.23,-.17,-1.05
1917,-.46,-.58,-.35,-.50,-.63,-.19,-.85,-.49,-.43,-.68,-.57,-.23,-.10,.07
1918,-.30,-.40,-.20,-.41,-.33,-.14,-1.05,-.26,-.35,-.39,-.27,-.06,-.23,-.28
